epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9394,0.29581,2.29029,1.04318,0.25588,0.87806,0.35117,0.34568,0.25014,1.62555,0.36401,0.000414692,0.000414692,0.000414692
2,120.592,0.18369,1.62208,0.93734,0.34106,0.84078,0.44562,0.4385,0.25618,1.77627,0.41321,0.000814898,0.000814898,0.000814898
3,176.363,0.1826,1.46736,0.93738,0.36025,0.84381,0.55028,0.55028,0.15957,1.38084,0.24995,0.0011986,0.0011986,0.0011986
4,231.98,0.17097,1.39579,0.9282,0.43378,0.93162,0.54893,0.54893,0.19998,1.17647,0.29566,0.00117575,0.00117575,0.00117575
5,287.223,0.16087,1.31538,0.9223,0.4088,0.94045,0.53317,0.5279,0.25393,1.1703,0.37841,0.001151,0.001151,0.001151
6,340.795,0.14685,1.25607,0.91112,0.44433,0.93969,0.60587,0.57696,0.24865,1.05132,0.35816,0.00112625,0.00112625,0.00112625
7,395.194,0.12978,1.22143,0.91701,0.43107,0.96084,0.66395,0.66395,0.1807,1.0305,0.2732,0.0011015,0.0011015,0.0011015
8,451.717,0.13484,1.15822,0.91568,0.45885,0.95412,0.76393,0.76393,0.23299,0.93911,0.31873,0.00107675,0.00107675,0.00107675
9,508.793,0.12978,1.13469,0.91236,0.47928,0.92069,0.70823,0.70514,0.17845,1.02487,0.26169,0.001052,0.001052,0.001052
10,565.829,0.11821,1.13881,0.91462,0.4078,0.89561,0.62446,0.62167,0.19975,1.07957,0.27535,0.00102725,0.00102725,0.00102725
11,621.862,0.11722,1.09156,0.91486,0.5352,0.9009,0.73645,0.73645,0.17971,0.86047,0.27657,0.0010025,0.0010025,0.0010025
12,677.447,0.1102,1.09344,0.91432,0.53172,0.89354,0.75124,0.75104,0.18401,0.90667,0.25148,0.00097775,0.00097775,0.00097775
13,733.761,0.11068,1.05954,0.90593,0.54078,0.89323,0.77727,0.77602,0.20358,0.88215,0.30439,0.000953,0.000953,0.000953
14,788.421,0.10119,1.01949,0.90819,0.58617,0.92821,0.79562,0.79197,0.2139,0.81193,0.28974,0.00092825,0.00092825,0.00092825
15,842.833,0.09583,1.05514,0.8987,0.55758,0.82814,0.74807,0.74807,0.19863,0.96989,0.28221,0.0009035,0.0009035,0.0009035
16,899.411,0.09979,1.02817,0.90161,0.64627,0.8912,0.86647,0.86647,0.18927,0.71073,0.28022,0.00087875,0.00087875,0.00087875
17,953.318,0.08853,0.97024,0.91175,0.77506,0.86544,0.87829,0.87707,0.19677,0.69456,0.28637,0.000854,0.000854,0.000854
18,1008.71,0.09394,0.96348,0.8996,0.76118,0.86708,0.91192,0.89798,0.24954,0.79432,0.3414,0.00082925,0.00082925,0.00082925
19,1065.03,0.08765,0.96836,0.89943,0.86345,0.67448,0.831,0.82335,0.2143,0.93075,0.28854,0.0008045,0.0008045,0.0008045
20,1119.44,0.08451,0.90502,0.90239,0.89217,0.92178,0.96216,0.96216,0.1775,0.50518,0.26522,0.00077975,0.00077975,0.00077975
21,1177.77,0.08673,0.89009,0.9045,0.85952,0.88516,0.95411,0.95271,0.19768,0.53246,0.26855,0.000755,0.000755,0.000755
22,1233.89,0.08315,0.85935,0.89567,0.83348,0.8787,0.93142,0.93142,0.1543,0.52229,0.21688,0.00073025,0.00073025,0.00073025
23,1290.74,0.07628,0.82484,0.89804,0.81492,0.92398,0.95246,0.95246,0.13937,0.53045,0.21984,0.0007055,0.0007055,0.0007055
24,1346.4,0.07512,0.86052,0.8954,0.80558,0.89745,0.94139,0.93284,0.2037,0.67846,0.28425,0.00068075,0.00068075,0.00068075
25,1401.56,0.07665,0.83531,0.8968,0.9019,0.89356,0.95838,0.95316,0.17311,0.4942,0.23459,0.000656,0.000656,0.000656
26,1456.54,0.07322,0.79411,0.89974,0.87658,0.91289,0.95868,0.95868,0.15702,0.43178,0.23738,0.00063125,0.00063125,0.00063125
27,1511.59,0.07535,0.77347,0.89618,0.8707,0.91217,0.97364,0.96951,0.19138,0.49698,0.26541,0.0006065,0.0006065,0.0006065
28,1566.65,0.07171,0.75277,0.8977,0.88001,0.9168,0.97171,0.97031,0.21365,0.5004,0.29509,0.00058175,0.00058175,0.00058175
29,1623.05,0.07468,0.73625,0.90078,0.88767,0.95286,0.97873,0.97873,0.19511,0.44633,0.27524,0.000557,0.000557,0.000557
30,1677.92,0.06927,0.72789,0.90228,0.87518,0.9165,0.96424,0.96338,0.20172,0.5453,0.27316,0.00053225,0.00053225,0.00053225
31,1733.6,0.06477,0.74049,0.89239,0.91574,0.94103,0.97767,0.97767,0.17263,0.42906,0.23971,0.0005075,0.0005075,0.0005075
32,1790.1,0.06257,0.72419,0.89678,0.95333,0.90784,0.97683,0.97683,0.15965,0.4136,0.22987,0.00048275,0.00048275,0.00048275
33,1844.52,0.0605,0.68321,0.89995,0.94071,0.9115,0.97156,0.97156,0.18751,0.45119,0.25321,0.000458,0.000458,0.000458
34,1898.95,0.06327,0.69936,0.89006,0.92596,0.92403,0.97715,0.97715,0.1674,0.44526,0.22683,0.00043325,0.00043325,0.00043325
35,1953.78,0.0555,0.68159,0.89894,0.92939,0.95415,0.98717,0.98694,0.18603,0.39455,0.25786,0.0004085,0.0004085,0.0004085
36,2008.82,0.05787,0.6529,0.8907,0.9293,0.94503,0.98262,0.98262,0.24147,0.42744,0.33283,0.00038375,0.00038375,0.00038375
37,2064.52,0.05754,0.66277,0.88575,0.93787,0.95292,0.98422,0.98422,0.1658,0.3655,0.21411,0.000359,0.000359,0.000359
38,2119.23,0.05422,0.6381,0.89659,0.92231,0.94799,0.98339,0.98339,0.16176,0.36795,0.2232,0.00033425,0.00033425,0.00033425
39,2173.73,0.05248,0.64079,0.89404,0.91945,0.97261,0.98135,0.98135,0.199,0.39697,0.26801,0.0003095,0.0003095,0.0003095
40,2228.33,0.05062,0.6424,0.88851,0.93993,0.954,0.98189,0.98189,0.18507,0.34506,0.25311,0.00028475,0.00028475,0.00028475
41,2282.98,0.06369,0.36242,0.92003,0.92683,0.9399,0.98056,0.98056,0.1942,0.42417,0.25621,0.00026,0.00026,0.00026
42,2335.57,0.05089,0.24778,0.90532,0.92137,0.94468,0.978,0.978,0.20824,0.38389,0.2791,0.00023525,0.00023525,0.00023525
43,2388.61,0.05015,0.24798,0.90083,0.92902,0.95207,0.98085,0.98085,0.17668,0.37559,0.24116,0.0002105,0.0002105,0.0002105
44,2444.24,0.04139,0.19218,0.90943,0.88926,0.97625,0.98198,0.98198,0.17677,0.40585,0.23798,0.00018575,0.00018575,0.00018575
45,2496.66,0.03849,0.18683,0.9086,0.91934,0.97337,0.98313,0.98313,0.16369,0.38929,0.2197,0.000161,0.000161,0.000161
46,2549.35,0.03642,0.19405,0.90808,0.94763,0.93471,0.98051,0.98051,0.17241,0.40846,0.2315,0.00013625,0.00013625,0.00013625
47,2602.34,0.03334,0.1811,0.90565,0.93229,0.94051,0.98214,0.98214,0.13608,0.38985,0.18693,0.0001115,0.0001115,0.0001115
48,2662.24,0.03291,0.18019,0.90267,0.94001,0.95017,0.97871,0.97871,0.14824,0.38974,0.19785,8.675e-05,8.675e-05,8.675e-05
49,2719.76,0.03014,0.15226,0.90308,0.94911,0.95216,0.98249,0.98249,0.14966,0.3759,0.20136,6.2e-05,6.2e-05,6.2e-05
50,2778.04,0.02893,0.13594,0.90048,0.94805,0.93746,0.98034,0.98034,0.15552,0.38029,0.20837,3.725e-05,3.725e-05,3.725e-05
